,sumStudentPop,key1,UID,Province_State,POPESTIMATE2019,Long_,Lat,Country_Region,Combined_Key,Admin2,date,case_count,month,pct_change,ratioStudent,casesPerThousand
8191,812.0,"Allen,Ohio",84039003,Ohio,102351.0,-84.10802343,40.77285242,US,"Allen, Ohio, US",Allen,2020-07-01,297,7,0.40094339622641506,0.793348379595705,2.9017791716739456
5401,812.0,"Allen,Ohio",84039003,Ohio,102351.0,-84.10802343,40.77285242,US,"Allen, Ohio, US",Allen,2020-08-01,635,8,1.138047138047138,0.793348379595705,6.204140653242274
2611,812.0,"Allen,Ohio",84039003,Ohio,102351.0,-84.10802343,40.77285242,US,"Allen, Ohio, US",Allen,2020-09-01,1162,9,0.8299212598425196,0.793348379595705,11.353088880421296
26911,812.0,"Allen,Ohio",84039003,Ohio,102351.0,-84.10802343,40.77285242,US,"Allen, Ohio, US",Allen,2020-10-01,1496,10,0.28743545611015486,0.793348379595705,14.616369161024318
24121,812.0,"Allen,Ohio",84039003,Ohio,102351.0,-84.10802343,40.77285242,US,"Allen, Ohio, US",Allen,2020-11-01,2580,11,0.7245989304812834,0.793348379595705,25.207374622622154
8192,6910.0,"Ashland,Ohio",84039005,Ohio,53484.0,-82.27280781,40.84772277,US,"Ashland, Ohio, US",Ashland,2020-07-01,55,7,1.75,12.919751701443422,1.0283449255852217
5402,6910.0,"Ashland,Ohio",84039005,Ohio,53484.0,-82.27280781,40.84772277,US,"Ashland, Ohio, US",Ashland,2020-08-01,127,8,1.309090909090909,12.919751701443422,2.3745419190786032
2612,6910.0,"Ashland,Ohio",84039005,Ohio,53484.0,-82.27280781,40.84772277,US,"Ashland, Ohio, US",Ashland,2020-09-01,171,9,0.3464566929133859,12.919751701443422,3.19721785954678
26912,6910.0,"Ashland,Ohio",84039005,Ohio,53484.0,-82.27280781,40.84772277,US,"Ashland, Ohio, US",Ashland,2020-10-01,271,10,0.5847953216374269,12.919751701443422,5.066935906065365
24122,6910.0,"Ashland,Ohio",84039005,Ohio,53484.0,-82.27280781,40.84772277,US,"Ashland, Ohio, US",Ashland,2020-11-01,511,11,0.8856088560885609,12.919751701443422,9.55425921770997
8193,3320.0,"Ashtabula,Ohio",84039007,Ohio,97241.0,-80.74830218,41.70860332,US,"Ashtabula, Ohio, US",Ashtabula,2020-07-01,421,7,0.2382352941176471,3.414197714955626,4.329449512037104
5403,3320.0,"Ashtabula,Ohio",84039007,Ohio,97241.0,-80.74830218,41.70860332,US,"Ashtabula, Ohio, US",Ashtabula,2020-08-01,537,8,0.2755344418052257,3.414197714955626,5.522361966660154
2613,3320.0,"Ashtabula,Ohio",84039007,Ohio,97241.0,-80.74830218,41.70860332,US,"Ashtabula, Ohio, US",Ashtabula,2020-09-01,612,9,0.13966480446927365,3.414197714955626,6.293641570942298
26913,3320.0,"Ashtabula,Ohio",84039007,Ohio,97241.0,-80.74830218,41.70860332,US,"Ashtabula, Ohio, US",Ashtabula,2020-10-01,667,10,0.08986928104575154,3.414197714955626,6.8592466140825366
24123,3320.0,"Ashtabula,Ohio",84039007,Ohio,97241.0,-80.74830218,41.70860332,US,"Ashtabula, Ohio, US",Ashtabula,2020-11-01,890,11,0.3343328335832083,3.414197714955626,9.15251797081478
8194,25968.0,"Athens,Ohio",84039009,Ohio,65327.0,-82.04278644,39.33425634,US,"Athens, Ohio, US",Athens,2020-07-01,37,7,1.0555555555555554,39.75079216862859,0.5663814349350192
5404,25968.0,"Athens,Ohio",84039009,Ohio,65327.0,-82.04278644,39.33425634,US,"Athens, Ohio, US",Athens,2020-08-01,342,8,8.243243243243244,39.75079216862859,5.235201371561529
2614,25968.0,"Athens,Ohio",84039009,Ohio,65327.0,-82.04278644,39.33425634,US,"Athens, Ohio, US",Athens,2020-09-01,396,9,0.1578947368421053,39.75079216862859,6.061812114439665
26914,25968.0,"Athens,Ohio",84039009,Ohio,65327.0,-82.04278644,39.33425634,US,"Athens, Ohio, US",Athens,2020-10-01,773,10,0.952020202020202,39.75079216862859,11.832779708237023
24124,25968.0,"Athens,Ohio",84039009,Ohio,65327.0,-82.04278644,39.33425634,US,"Athens, Ohio, US",Athens,2020-11-01,1388,11,0.7956015523932729,39.75079216862859,21.246957613238017
8196,721.0,"Belmont,Ohio",84039013,Ohio,67006.0,-80.9924051,40.01625942,US,"Belmont, Ohio, US",Belmont,2020-07-01,534,7,0.22758620689655173,1.076023042712593,7.969435572933767
5406,721.0,"Belmont,Ohio",84039013,Ohio,67006.0,-80.9924051,40.01625942,US,"Belmont, Ohio, US",Belmont,2020-08-01,589,8,0.10299625468164786,1.076023042712593,8.79025758887264
2616,721.0,"Belmont,Ohio",84039013,Ohio,67006.0,-80.9924051,40.01625942,US,"Belmont, Ohio, US",Belmont,2020-09-01,684,9,0.16129032258064524,1.076023042712593,10.208041070948871
26916,721.0,"Belmont,Ohio",84039013,Ohio,67006.0,-80.9924051,40.01625942,US,"Belmont, Ohio, US",Belmont,2020-10-01,723,10,0.05701754385964919,1.076023042712593,10.790078500432797
24126,721.0,"Belmont,Ohio",84039013,Ohio,67006.0,-80.9924051,40.01625942,US,"Belmont, Ohio, US",Belmont,2020-11-01,885,11,0.22406639004149387,1.076023042712593,13.207772438289108
8198,18422.0,"Butler,Ohio",84039017,Ohio,383134.0,-84.57388716,39.44012838,US,"Butler, Ohio, US",Butler,2020-07-01,1448,7,0.5929592959295931,4.808239414930546,3.7793565697641034
5408,18422.0,"Butler,Ohio",84039017,Ohio,383134.0,-84.57388716,39.44012838,US,"Butler, Ohio, US",Butler,2020-08-01,2652,8,0.8314917127071824,4.808239414930546,6.921860236888399
